Source,Target,Type,Weight
1,2,Directed,1
2,3,Directed,1
3,4,Directed,1
4,5,Directed,1
5,21,Directed,1
6,7,Directed,1
7,8,Directed,1
8,9,Directed,1
9,10,Directed,1
10,21,Directed,1
11,12,Directed,1
12,13,Directed,1
13,12,Directed,1
14,15,Directed,1
15,16,Directed,1
16,17,Directed,1
17,18,Directed,1
18,19,Directed,1
19,20,Directed,1
20,21,Directed,1
21,22,Directed,1
22,23,Directed,1
23,24,Directed,1
24,25,Directed,1
25,26,Directed,1
26,27,Directed,1
27,28,Directed,1
28,29,Directed,1
29,30,Directed,1
30,31,Directed,1
31,32,Directed,1
32,33,Directed,1
